id,word,pronunciation,translation,classification,sentence1,sentence1Trans,sentence2,sentence2Trans
1,come,kʌm,来,OPERATIONS,I can't come to the party tonight.,我今晚不能来参加聚会。,Please come in.,请进来。
2,get,ɡet,得到,OPERATIONS,Did you get my message?,你收到我的信息了吗？,I need to get some rest.,我需要休息一下。
3,give,ɡɪv,给予,OPERATIONS,Can you give me a hand with this?,你能帮我一下吗？,She gave him a book as a gift.,她送给他一本书作为礼物。
4,go,ɡoʊ,去,OPERATIONS,I have to go to work early tomorrow.,我明天必须早去上班。,Let's go to the beach!,我们去海滩吧！
5,keep,kip,保持，继续,OPERATIONS,Please keep quiet in the library.,请在图书馆保持安静。,I'll keep an eye on it.,我会继续关注它的。
6,let,let,让，允许,OPERATIONS,Let me know if you need any help.,如果你需要帮助，请告诉我。,She let her hair down.,她放下了她的头发。
7,make,meɪk,制作，使得,OPERATIONS,I'm going to make dinner tonight.,我今晚要做晚餐。,She made a mistake on the test.,她在考试中犯了一个错误。
8,put,pʊt,放置，放下,OPERATIONS,Can you put the book on the shelf?,你能把书放在书架上吗？,He put his keys in his pocket.,他把钥匙放在口袋里。
9,seem,siːm,似乎，好像,OPERATIONS,It seems like it's going to rain.,天气好像要下雨了。,She seems happy today.,她今天看起来很开心。
10,take,teɪk,拿，取,OPERATIONS,I need to take a break.,我需要休息一下。,He took a picture of the sunset.,他拍了一张日落的照片。
11,be,bi,是，存在,OPERATIONS,She is a doctor.,她是一名医生。,It will be sunny tomorrow.,明天会是晴天。
12,do,du,做，干,OPERATIONS,What do you do for a living?,你从事什么工作？,I need to do my homework.,我需要做我的家庭作业。
13,have,hæv,拥有，有,OPERATIONS,I have a cat and a dog.,我有一只猫和一只狗。,Do you have any questions?,你有什么问题吗？
14,say,seɪ,说,OPERATIONS,She didn't say anything.,她什么都没说。,He said he would be here on time.,他说他会准时到达这里。
15,see,si,看，见,OPERATIONS,I see what you mean.,我明白你的意思。,I can't see without my glasses.,我没有戴眼镜就看不清。
16,send,send,发送,OPERATIONS,I will send you an email later.,我会稍后给你发送一封电子邮件。,She sent a postcard to her friend.,她给她的朋友寄了一张明信片。
17,may,meɪ,可能，可以,OPERATIONS,May I ask you a question?,我可以问你个问题吗？,It may rain later today.,今天晚些时候可能会下雨。
18,will,wɪl,将要，愿意,OPERATIONS,I will help you with that.,我会帮你的。,Will you come to the party tonight?,你今晚会来参加聚会吗？
19,about,əˈbaʊt,关于，大约,OPERATIONS,What are you talking about?,你在谈论什么？,I'm thinking about my future.,我在考虑我的未来。
20,across,əˈkrɔs,横过，穿过,OPERATIONS,We need to walk across the bridge to get to the other side of the river.,我们需要走过桥才能到达河对岸。,The store is just across the street.,商店就在街对面。
21,after,ˈæftər,在...之后,OPERATIONS,We'll meet at the restaurant after the movie.,电影后我们会在餐厅见面。,I always have a cup of tea after dinner.,晚饭后我总是喝一杯茶。
22,against,əˈɡɛnst,对着，靠着,OPERATIONS,He leaned against the wall.,他靠在墙上。,The soccer ball hit the goalpost and bounced back against the player.,足球撞在球门柱上，反弹回击球员。
23,among,əˈmʌŋ,在...之中,OPERATIONS,There are many books among the shelves.,书架之间有很多书。,He felt lonely among the crowd.,他觉得在人群中很孤独。
24,at,æt,在...处,OPERATIONS,I met her at the office.,我在办公室见到了她。,The party is at John's house.,聚会在约翰家。
25,before,bɪˈfɔr,在...之前,OPERATIONS,You should arrive at the airport at least two hours before your flight.,你应该在你的航班起飞前至少提前两个小时到达机场。,We need to finish the project before the deadline.,我们需要在截止日期之前完成这个项目。
26,between,bɪˈtwiːn,在...之间,OPERATIONS,The library is located between the school and the park.,图书馆位于学校和公园之间。,We need to choose between the two options.,我们需要在这两个选项之间进行选择。
27,by,baɪ,通过，靠,OPERATIONS,I usually go to work by bus.,我通常乘公交车上班。,He fixed the chair by gluing it back together.,他通过胶水把椅子粘在一起修好了。
28,down,daʊn,向下,OPERATIONS,The cat climbed down the tree.,猫从树上爬下来了。,He wrote the phone number down on a piece of paper.,他把电话号码写在一张纸上。
29,from,frʌm,从，自,OPERATIONS,I'm from Canada.,我来自加拿大。,The package is from my friend.,这个包裹是我朋友寄来的。
30,in,ɪn,在，于,OPERATIONS,He is in the kitchen.,他在厨房里。,She is studying in the library.,她在图书馆学习。
31,off,ɔf,离开，关闭,OPERATIONS,He took the day off from work.,他放了一天假。,Please turn off the lights when you leave.,离开时请关灯。
32,on,ɑn,在...上，开启，穿着,OPERATIONS,The book is on the table.,书在桌子上。,She turned on the TV and watched the news.,她打开电视看新闻。
33,over,ˈoʊvər,在...上方，结束,OPERATIONS,The bird flew over the house.,鸟飞过了房子。,The game is over.,比赛结束了。
34,through,θru,通过，穿过,OPERATIONS,We walked through the park.,我们穿过了公园。,He read through the entire book in one night.,他一夜之间读完了整本书。
35,to,tuː,到，向,OPERATIONS,Are you coming to the party tonight?,你今晚来参加聚会吗？,I am going to the store to buy some milk.,我去商店买牛奶。
36,under,ˈʌndər,在…下面,OPERATIONS,The cat is under the table.,猫在桌子下面。,I found my keys under the couch.,我在沙发下找到了我的钥匙。
37,up,ʌp,向上,OPERATIONS,Can you help me pick this box up?,你能帮我把这个盒子拿起来吗？,The balloon went up into the sky.,气球飘向了天空。
38,with,wɪð,和,OPERATIONS,Can you come with me to the concert?,你能和我一起去音乐会吗？,I like to drink my coffee with milk.,我喜欢在咖啡里加牛奶。
